Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,Bioactivity,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL1408862,BRONOPOL,0,199.99,0,-0.66,BRONOPOL,O=[N+]([O-])C(Br)(CO)CO,IC50,'=',420,nM,Active,6.38,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,199.988,-0.6611,2,4
CHEMBL1422849,,0,415.46,0,4.69,ML311,CCN1CCN(C(c2ccc(C(F)(F)F)cc2)c2ccc3cccnc3c2O)CC1,IC50,'=',150,nM,Active,6.82,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,415.459,4.6861,1,4
CHEMBL1448,NICLOSAMIDE,4,327.12,0,3.86,NCGC00094190-01,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,IC50,'=',40000,nM,Inactive,4.4,,,UO_0000065,13.44,0.29,0.54,4.76,FALSE,CHEMBL1049454,Inhibition of SARS Co-V 3CL protease,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1152503,1,Scientific Literature,Bioorg. Med. Chem.,2009,None,,327.123,3.8595,2,4
CHEMBL1474701,,0,284.31,0,3.28,INCA-6,O=C1C=CC(=O)C2=C1C1c3ccccc3C2c2ccccc21,IC50,'=',240,nM,Active,6.62,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,284.314,3.282,0,2
CHEMBL1475252,TENATOPRAZOLE,2,346.41,0,2.29,TENATOPRAZOLE,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2n1,IC50,'=',970,nM,Active,6.01,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,346.412,2.29474,1,6
CHEMBL148483,,0,204.19,0,-0.06,5a,CN1C(=O)C(=O)c2cc(C(N)=O)ccc21,IC50,'=',71000,nM,Inactive,4.15,,,UO_0000065,20.32,0.38,4.21,5.16,FALSE,CHEMBL868157,Inhibition of SARS CoV 3C-like protease,B,BAO_0000357,single protein format,SARS coronavirus,None,None,None,None,,,,CHEMBL3927,SARS coronavirus 3C-like proteinase,SARS coronavirus,SINGLE PROTEIN,CHEMBL1148529,1,Scientific Literature,J. Med. Chem.,2006,None,,204.185,-0.0554,1,3
CHEMBL151,LUTEOLIN,2,286.24,0,2.28,Luteolin,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IC50,'=',20000,nM,Inactive,4.7,,,UO_0000065,16.42,0.31,2.42,4.23,FALSE,CHEMBL1286522,Inhibition of SARS coronavirus 3C-like protease after 60 mins by FRET assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1275337,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,,286.239,2.2824,4,6
CHEMBL154580,,0,182.22,0,3.21,JAK3-inhibitor-V,C=CC(=O)c1ccc2ccccc2c1,IC50,'=',1240,nM,Active,5.91,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,182.222,3.2085,0,1
CHEMBL1591074,,0,264.42,0,4.23,CBS; N-Cyclohexyl-2-benzothiazolesulfenamide,c1ccc2sc(SNC3CCCCC3)nc2c1,IC50,'=',770,nM,Active,6.11,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,264.419,4.2257,1,4
CHEMBL1608472,,0,302.36,0,1.85,WAY-308264,Cc1cc(C)cc(N2C(=O)CC(Sc3nc[nH]n3)C2=O)c1,IC50,'=',3170,nM,Active,5.5,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,302.359,1.84574,1,5
CHEMBL1616,APOMORPHINE HYDROCHLORIDE,4,303.79,0,2.85,APOMORPHINE HYDROCHLORIDE,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl,IC50,'=',520,nM,Active,6.28,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,303.789,3.2717,2,3
CHEMBL164,MYRICETIN,0,318.24,1,1.69,MYRICETIN,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,IC50,'=',220,nM,Active,6.66,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,318.237,1.6936,6,8
CHEMBL1725120,,0,273.33,0,3.81,MLS0315771,Cc1ccc(C)c(-n2sc3cc(F)ccc3c2=O)c1,IC50,'=',20,nM,Highly Active,7.7,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,273.332,3.80814,0,3
CHEMBL1774322,,0,415.55,1,5.42,1,Nc1nc(CSc2nnc(-c3cccc4ccccc34)n2-c2ccccc2)cs1,IC50,'=',58350,nM,Inactive,4.23,,,UO_0000065,10.19,0.2,-1.19,6.08,FALSE,CHEMBL1777452,Inhibition of SARS coronavirus recombinant 3C-like protease expressed in Escherichia coli BL21(DE3) after 30 mins by FRET based assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1773021,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,None,,415.547,5.4185,1,7
CHEMBL1774323,,0,482.58,0,3.88,2,COc1cc(C2C(C(=O)c3ccc(OCC(C)C)cc3C)=C(O)C(=O)N2CCN(C)C)ccc1O,IC50,'=',62790,nM,Inactive,4.2,,,UO_0000065,8.71,0.16,0.32,4.22,FALSE,CHEMBL1777452,Inhibition of SARS coronavirus recombinant 3C-like protease expressed in Escherichia coli BL21(DE3) after 30 mins by FRET based assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1773021,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,None,,482.577,3.88392,2,7
CHEMBL1774324,,0,486.55,0,2.97,3,Cc1nc(C)c(C(=O)C2=C(O)C(=O)N(CCCN3CCOCC3)C2c2cccc([N+](=O)[O-])c2)s1,IC50,'=',101380,nM,Inactive,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL1777452,Inhibition of SARS coronavirus recombinant 3C-like protease expressed in Escherichia coli BL21(DE3) after 30 mins by FRET based assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1773021,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,None,,486.55,2.96874,1,9
CHEMBL1774325,,0,445.48,0,3.33,4,COc1cc(/C=N/NC(=O)/C(=C\c2ccccc2)NC(=O)c2ccccc2)cc(OC)c1O,IC50,'=',77090,nM,Inactive,4.11,,,UO_0000065,9.23,0.17,0.78,3.76,FALSE,CHEMBL1777452,Inhibition of SARS coronavirus recombinant 3C-like protease expressed in Escherichia coli BL21(DE3) after 30 mins by FRET based assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1773021,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,None,,445.475,3.3306,3,6
CHEMBL1774326,,0,495.63,0,3.96,5,O=C(CSc1ncnc2c1sc1nc(N3CCOCC3)c3c(c12)CCCC3)NCc1ccco1,IC50,'=',90720,nM,Inactive,4.04,,,UO_0000065,8.16,0.16,0.08,4.33,FALSE,CHEMBL1777452,Inhibition of SARS coronavirus recombinant 3C-like protease expressed in Escherichia coli BL21(DE3) after 30 mins by FRET based assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1773021,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,None,,495.63,3.9564,1,9
CHEMBL178459,OLTIPRAZ,3,226.35,0,3.3,OltiprazÊ,Cc1c(-c2cnccn2)ssc1=S,IC50,'=',210,nM,Active,6.68,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,226.351,3.30451,0,5
CHEMBL185698,,0,421.19,0,2.66,4d,O=C1C(=O)N(CC2COc3ccccc3O2)c2ccc(I)cc21,IC50,'=',13500,nM,Inactive,4.87,,,UO_0000065,11.56,0.29,2.21,8.72,FALSE,CHEMBL830868,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease) at 20 uM,B,BAO_0000357,single protein format,SARS coronavirus,None,None,None,None,,,,CHEMBL3927,SARS coronavirus 3C-like proteinase,SARS coronavirus,SINGLE PROTEIN,CHEMBL1139624,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,,421.19,2.6605,0,4
CHEMBL187266,TANSHINONE IIA,0,294.35,0,4.25,1,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,IC50,'=',17100,nM,Inactive,4.77,,,UO_0000065,16.2,0.3,0.52,10.08,FALSE,CHEMBL2150313,Inhibition of SARS-CoV PLpro expressed in Escherichia coli BL21 (DE3) using Arg-Leu-Arg-Gly-Gly-AMC as substrate by fluorescence assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL3927,SARS coronavirus 3C-like proteinase,SARS coronavirus,SINGLE PROTEIN,CHEMBL2146458,1,Scientific Literature,Bioorg. Med. Chem.,2012,None,,294.35,4.24792,0,3
CHEMBL187460,CRYPTOTANSHINONE,0,296.37,0,3.44,4,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,IC50,'=',10100,nM,Inactive,5,,,UO_0000065,16.86,0.31,1.56,11.52,FALSE,CHEMBL2150313,Inhibition of SARS-CoV PLpro expressed in Escherichia coli BL21 (DE3) using Arg-Leu-Arg-Gly-Gly-AMC as substrate by fluorescence assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL3927,SARS coronavirus 3C-like proteinase,SARS coronavirus,SINGLE PROTEIN,CHEMBL2146458,1,Scientific Literature,Bioorg. Med. Chem.,2012,None,,296.366,3.4433,0,3
CHEMBL187579,,0,281.27,0,1.89,4b,Cc1noc(C)c1CN1C(=O)C(=O)c2cc(C#N)ccc21,IC50,'=',7200,nM,Intermediate,5.14,,,UO_0000065,18.28,0.33,3.25,5.9,FALSE,CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,BAO_0000357,single protein format,SARS coronavirus,None,None,None,None,,,,CHEMBL3927,SARS coronavirus 3C-like proteinase,SARS coronavirus,SINGLE PROTEIN,CHEMBL1139624,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,,281.271,1.89262,0,5
CHEMBL187598,,0,311.34,0,3.77,4n,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(F)cc21,IC50,'=',4820,nM,Active,5.32,,,UO_0000065,17.08,0.33,1.55,14.22,FALSE,CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,BAO_0000357,single protein format,SARS coronavirus,None,None,None,None,,,,CHEMBL3927,SARS coronavirus 3C-like proteinase,SARS coronavirus,SINGLE PROTEIN,CHEMBL1139624,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,,311.337,3.7699,0,3
CHEMBL187717,,0,338.34,0,3.54,4i,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c1cccc2[N+](=O)[O-],IC50,'=',2000,nM,Active,5.7,,,UO_0000065,16.84,0.32,2.16,7.08,FALSE,CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,BAO_0000357,single protein format,SARS coronavirus,None,None,None,None,,,,CHEMBL3927,SARS coronavirus 3C-like proteinase,SARS coronavirus,SINGLE PROTEIN,CHEMBL1139624,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,,338.344,3.539,0,5
CHEMBL188434,,0,342.41,0,0.92,SB-747651A,CCn1c(-c2nonc2N)nc2cncc(CNC3CCNCC3)c21,IC50,'=',2070,nM,Active,5.68,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,342.407,0.925,3,9
CHEMBL188487,,0,415.59,0,3.81,4c,O=C1C(=O)N(Cc2ccc(F)cc2Cl)c2ccc(I)cc21,IC50,'=',9400,nM,Intermediate,5.03,,,UO_0000065,12.1,0.33,1.22,13.45,FALSE,CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,BAO_0000357,single protein format,SARS coronavirus,None,None,None,None,,,,CHEMBL3927,SARS coronavirus 3C-like proteinase,SARS coronavirus,SINGLE PROTEIN,CHEMBL1139624,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,,415.589,3.8132,0,2
CHEMBL1886408,,0,240.3,0,3.46,Felbinac ethyl,CCOC(=O)Cc1ccc(-c2ccccc2)cc1,IC50,'=',200,nM,Active,6.7,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,240.302,3.4592,0,2
CHEMBL188983,,0,445.28,0,4.75,4r,O=C1C(=O)N(C/C=C/c2cc3ccccc3s2)c2ccc(I)cc21,IC50,'=',23500,nM,Inactive,4.63,,,UO_0000065,10.4,0.26,-0.12,12.38,FALSE,CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,BAO_0000357,single protein format,SARS coronavirus,None,None,None,None,,,,CHEMBL3927,SARS coronavirus 3C-like proteinase,SARS coronavirus,SINGLE PROTEIN,CHEMBL1139624,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,,445.281,4.7486,0,3
CHEMBL190743,,0,419.24,0,4.24,4o,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(I)cc21,IC50,'=',950,nM,Active,6.02,,,UO_0000065,14.36,0.37,1.78,16.11,FALSE,CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,BAO_0000357,single protein format,SARS coronavirus,None,None,None,None,,,,CHEMBL3927,SARS coronavirus 3C-like proteinase,SARS coronavirus,SINGLE PROTEIN,CHEMBL1139624,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,,419.243,4.2354,0,3
CHEMBL191575,,0,522.75,1,4.99,4u,O=C(Nc1ccc(Cl)cc1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,IC50,'=',12570,nM,Inactive,4.9,,,UO_0000065,9.37,0.24,-0.09,7.37,FALSE,CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,BAO_0000357,single protein format,SARS coronavirus,None,None,None,None,,,,CHEMBL3927,SARS coronavirus 3C-like proteinase,SARS coronavirus,SINGLE PROTEIN,CHEMBL1139624,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,,522.751,4.9879,1,4
CHEMBL1917204,,0,316.36,0,2.56,CCG 50014,Cc1ccc(-n2sc(=O)n(Cc3ccc(F)cc3)c2=O)cc1,IC50,'=',150,nM,Active,6.82,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,316.357,2.55652,0,5
CHEMBL192627,CHLORANIL,0,245.88,0,2.52,CHLORANIL,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,IC50,'<',20,nM,Highly Active,,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,245.876,2.5166,0,2
CHEMBL194398,,0,580.68,1,2.69,1,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,IC50,'=',870000,nM,Inactive,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL898907,Inhibition of SARS-CoV 3C-like protease by FRET based microplate assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1137503,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,,580.682,2.68582,3,8
CHEMBL196635,,0,558.68,1,2.8,4,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,IC50,'=',70000,nM,Inactive,4.16,,,UO_0000065,7.44,0.14,1.35,2.65,FALSE,CHEMBL880249,Inhibitory concentration required for antiviral activity against SARS-CoV 3CLpro protease,B,BAO_0000357,single protein format,Carona virus,None,None,None,None,,,,CHEMBL3927,SARS coronavirus 3C-like proteinase,SARS coronavirus,SINGLE PROTEIN,CHEMBL1141032,1,Scientific Literature,J. Med. Chem.,2005,None,,558.676,2.79942,3,8
CHEMBL197308,FERRUGINOL,0,286.46,1,5.55,3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,IC50,'=',49600,nM,Inactive,4.3,,,UO_0000065,15.03,0.28,-1.25,21.28,FALSE,CHEMBL1286522,Inhibition of SARS coronavirus 3C-like protease after 60 mins by FRET assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1275337,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,,286.459,5.5458,1,1
CHEMBL197310,18-HYDROXYFERRUGINOL,0,302.46,0,4.52,1,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CO)[C@@H]1CC2,IC50,'=',220800,nM,Inactive,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL1286522,Inhibition of SARS coronavirus 3C-like protease after 60 mins by FRET assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1275337,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,,302.458,4.5182,2,2
CHEMBL1977761,ACRIFLAVINE HYDROCHLORIDE,0,505.45,None,None,Acriflavine hydrochloride,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Cl.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-],IC50,'=',1930,nM,Active,5.71,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,505.453,1.9601,4,5
CHEMBL207207,,0,401.88,0,4.67,15,Cc1cc(O)nc(SCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)n1,IC50,'=',100000,nM,Inactive,4,,,UO_0000065,9.95,0.2,-0.67,4.74,FALSE,CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,BAO_0000357,single protein format,SARS coronavirus,None,None,None,None,,,,CHEMBL3927,SARS coronavirus 3C-like proteinase,SARS coronavirus,SINGLE PROTEIN,CHEMBL1148632,1,Scientific Literature,J. Med. Chem.,2006,None,,401.875,4.66712,2,6
CHEMBL207381,,0,511.07,2,6.69,17,CC(C)c1ccc(NC(=O)CSc2nccc(-c3csc(COc4ccccc4Cl)n3)n2)cc1,IC50,'=',200000,nM,Inactive,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,BAO_0000357,single protein format,SARS coronavirus,None,None,None,None,,,,CHEMBL3927,SARS coronavirus 3C-like proteinase,SARS coronavirus,SINGLE PROTEIN,CHEMBL1148632,1,Scientific Literature,J. Med. Chem.,2006,None,,511.072,6.6867,1,7
CHEMBL207458,,0,377.38,0,1.87,21,CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N,IC50,'=',250000,nM,Inactive,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,BAO_0000357,single protein format,SARS coronavirus,None,None,None,None,,,,CHEMBL3927,SARS coronavirus 3C-like proteinase,SARS coronavirus,SINGLE PROTEIN,CHEMBL1148632,1,Scientific Literature,J. Med. Chem.,2006,None,,377.382,1.8745,2,9
CHEMBL207484,,0,403.38,0,3.22,18,COC(OC)c1cc(O)nc(SCC(=O)Nc2ccc(C(F)(F)F)cc2)n1,IC50,'=',200000,nM,Inactive,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,BAO_0000357,single protein format,SARS coronavirus,None,None,None,None,,,,CHEMBL3927,SARS coronavirus 3C-like proteinase,SARS coronavirus,SINGLE PROTEIN,CHEMBL1148632,1,Scientific Literature,J. Med. Chem.,2006,None,,403.382,3.2232,2,7
